Timestamp,Date,Fees
1734912000000,2024-12-23,1472923
1734998400000,2024-12-24,1360510
1735084800000,2024-12-25,1047305
1735171200000,2024-12-26,1274776
1735257600000,2024-12-27,837060
1735344000000,2024-12-28,491777
1735430400000,2024-12-29,962448
1735516800000,2024-12-30,1536713
1735603200000,2024-12-31,1359495
1735689600000,2025-01-01,533479
1735776000000,2025-01-02,1313648
1735862400000,2025-01-03,1410369
1735948800000,2025-01-04,1078270
1736035200000,2025-01-05,1011149
1736121600000,2025-01-06,1069280
1736208000000,2025-01-07,2174514
1736294400000,2025-01-08,1818035
1736380800000,2025-01-09,1967421
1736467200000,2025-01-10,1251164
1736553600000,2025-01-11,803471
1736640000000,2025-01-12,710198
1736812800000,2025-01-14,1276865
1736899200000,2025-01-15,1224530
1736985600000,2025-01-16,1691541
1737072000000,2025-01-17,1713590
1737158400000,2025-01-18,2794818
1737244800000,2025-01-19,3896226
1737331200000,2025-01-20,4417611
1737417600000,2025-01-21,2052249
1737504000000,2025-01-22,1520252
1737590400000,2025-01-23,2786993
1737676800000,2025-01-24,1362047
1737763200000,2025-01-25,1132579
1737849600000,2025-01-26,921838
1737936000000,2025-01-27,2835502
1738022400000,2025-01-28,1484354
1738108800000,2025-01-29,1927003
1738195200000,2025-01-30,1468042
1738281600000,2025-01-31,1761667
1738368000000,2025-02-01,1383724
1738454400000,2025-02-02,1970470
1738540800000,2025-02-03,4345798
1738627200000,2025-02-04,2531323
1738713600000,2025-02-05,1455907
1738800000000,2025-02-06,1378125
1738886400000,2025-02-07,1550345
1738972800000,2025-02-08,844630
1739059200000,2025-02-09,878924
1739145600000,2025-02-10,1160066
1739232000000,2025-02-11,1526352
1739318400000,2025-02-12,1785473
1739404800000,2025-02-13,1429188
1739491200000,2025-02-14,1199143
1739577600000,2025-02-15,728452
1739664000000,2025-02-16,621625
1739750400000,2025-02-17,1293655
1739836800000,2025-02-18,1650014
1739923200000,2025-02-19,997953
1740009600000,2025-02-20,1166406
1740096000000,2025-02-21,2459011
