date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd,cumulative_revenue_usd
2023-02-28,8366851.0,,2234.2832013758684,2234.2832013758684,2234.2832013758684,1117.1416006879342,2234.2832013758684
2023-03-31,1316447964.0,,351544.1557941768,351544.1557941768,351544.1557941768,175772.0778970884,353778.43899555266
2023-04-30,1646119989.0,,439579.74617591844,439579.74617591844,439579.74617591844,219789.87308795922,793358.1851714711
2023-05-31,9980084289.0,,2665080.885894577,2665080.885894577,2665080.885894577,1332540.4429472885,3458439.071066048
2023-06-30,19278995982.0,,5148261.497901118,5148261.497901118,5148261.497901118,2574130.748950559,8606700.568967167
2023-07-31,1412782857.0,,377269.4176801889,377269.4176801889,377269.4176801889,188634.70884009445,8983969.986647356
2023-08-31,1923915507.0,,513762.2384044651,513762.2384044651,513762.2384044651,256881.11920223254,9497732.225051822
2023-09-30,1369368115.0,,365675.9485551062,365675.9485551062,365675.9485551062,182837.9742775531,9863408.173606928
2023-10-31,1660442911.0,,443404.53808618634,443404.53808618634,443404.53808618634,221702.26904309317,10306812.711693116
2023-11-30,3952070048.0,,1055360.4598560585,1055360.4598560585,1055360.4598560585,527680.2299280292,11362173.171549175
2023-12-31,10258417704.0,,2739407.018093666,2739407.018093666,2739407.018093666,1369703.509046833,14101580.189642841
2024-01-31,17413484357.0,,4650095.427331808,4650095.427331808,4650095.427331808,2325047.713665904,18751675.616974648
2024-02-29,33326702930.0,,8899560.003368404,8899560.003368404,8899560.003368404,4449780.001684202,27651235.62034305
2024-03-31,52658151131.0,,14061828.337507743,14061828.337507743,14061828.337507743,7030914.168753872,41713063.9578508
2024-04-30,44693370818.0,,11934914.059246408,11934914.059246408,11934914.059246408,5967457.029623204,53647978.017097205
2024-05-31,26333356009.0,,7032057.218033282,7032057.218033282,7032057.218033282,3516028.609016641,60680035.23513049
2024-06-30,25904276152.0,,6917475.768388265,6917475.768388265,6917475.768388265,3458737.8841941324,67597511.00351876
2024-07-31,33066342410.0,,8830033.351568643,8830033.351568643,8830033.351568643,4415016.6757843215,76427544.3550874
2024-08-31,35218651965.0,,9404785.917724928,9404785.917724928,9404785.917724928,4702392.958862464,85832330.27281232
2024-09-30,30229682565.0,,8072531.940380494,8072531.940380494,8072531.940380494,4036265.970190247,93904862.21319282
2024-10-31,34334466197.0,,9168673.023120012,9168673.023120012,9168673.023120012,4584336.511560006,103073535.23631284
2024-11-30,75048422641.0,,20040924.595949262,20040924.595949262,20040924.595949262,10020462.297974631,123114459.8322621
2024-12-31,156837283922.0,10343007.0,41881815.370722175,44365727.41270845,41881815.370722175,20940907.685361087,167480187.24497056
2025-01-31,197881595746.0,51408705.0,52842285.01699604,52526209.65240451,52842285.01699604,26421142.50849802,220006396.89737508
2025-02-28,187490827253.0,45429024.0,50067535.05511725,45429024.0,50067535.05511725,25033767.527558625,265435420.89737508
2025-03-31,175572911308.0,39643404.0,46884975.76353633,39643404.0,46884975.76353633,23442487.881768163,305078824.8973751
2025-04-30,187589104317.0,43403918.0,50093778.95418701,43403918.0,50093778.95418701,25046889.477093507,348482742.8973751
2025-05-31,248294925606.0,70445046.0,66304656.46733243,70445046.0,66304656.46733243,33152328.233666215,418927788.8973751
2025-06-30,216324623517.0,62313887.0,57767309.63273904,64471623.02581452,57767309.63273904,28883654.81636952,483399411.92318964
2025-07-31,176220425239.0,93127251.0,47057887.83029719,93127251.0,47057887.83029719,23528943.915148593,576526662.9231896
2025-08-31,0.0,16329382.0,0.0,16329382.0,0.0,0.0,592856044.9231896
