date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd,cumulative_revenue_usd,cumulative_revenue_100_usd,cumulative_revenue_50_usd,revenue_10_usd,cumulative_revenue_10_usd
2023-02-28,8366851.0,,2234.2832013758684,2234.2832013758684,2234.2832013758684,1117.1416006879342,2234.2832013758684,2234.2832013758684,1117.1416006879342,223.42832013758687,223.42832013758687
2023-03-31,1316447964.0,,351544.1557941768,351544.1557941768,351544.1557941768,175772.0778970884,353778.43899555266,353778.43899555266,176889.21949777633,35154.415579417684,35377.84389955527
2023-04-30,1646119989.0,,439579.74617591844,439579.74617591844,439579.74617591844,219789.87308795922,793358.1851714711,793358.1851714711,396679.09258573555,43957.97461759185,79335.81851714713
2023-05-31,9980084289.0,,2665080.885894577,2665080.885894577,2665080.885894577,1332540.4429472885,3458439.071066048,3458439.071066048,1729219.535533024,266508.08858945774,345843.9071066049
2023-06-30,19278995982.0,,5148261.497901118,5148261.497901118,5148261.497901118,2574130.748950559,8606700.568967167,8606700.568967167,4303350.284483584,514826.1497901119,860670.0568967168
2023-07-31,1412782857.0,,377269.4176801889,377269.4176801889,377269.4176801889,188634.70884009445,8983969.986647356,8983969.986647356,4491984.993323678,37726.94176801889,898396.9986647357
2023-08-31,1923915507.0,,513762.2384044651,513762.2384044651,513762.2384044651,256881.11920223254,9497732.225051822,9497732.225051822,4748866.112525911,51376.22384044651,949773.2225051823
2023-09-30,1369368115.0,,365675.9485551062,365675.9485551062,365675.9485551062,182837.9742775531,9863408.173606928,9863408.173606928,4931704.086803464,36567.59485551062,986340.8173606929
2023-10-31,1660442911.0,,443404.53808618634,443404.53808618634,443404.53808618634,221702.26904309317,10306812.711693116,10306812.711693116,5153406.355846558,44340.45380861864,1030681.2711693115
2023-11-30,3952070048.0,,1055360.4598560585,1055360.4598560585,1055360.4598560585,527680.2299280292,11362173.171549175,11362173.171549175,5681086.5857745875,105536.04598560586,1136217.3171549174
2023-12-31,10258417704.0,,2739407.018093666,2739407.018093666,2739407.018093666,1369703.509046833,14101580.189642841,14101580.189642841,7050790.0948214205,273940.70180936664,1410158.018964284
2024-01-31,17413484357.0,,4650095.427331808,4650095.427331808,4650095.427331808,2325047.713665904,18751675.616974648,18751675.616974648,9375837.808487324,465009.5427331808,1875167.561697465
2024-02-29,33326702930.0,,8899560.003368404,8899560.003368404,8899560.003368404,4449780.001684202,27651235.62034305,27651235.62034305,13825617.810171526,889956.0003368404,2765123.562034305
2024-03-31,52658151131.0,,14061828.337507743,14061828.337507743,14061828.337507743,7030914.168753872,41713063.9578508,41713063.9578508,20856531.9789254,1406182.8337507744,4171306.3957850793
2024-04-30,44693370818.0,,11934914.059246408,11934914.059246408,11934914.059246408,5967457.029623204,53647978.017097205,53647978.017097205,26823989.008548602,1193491.4059246408,5364797.80170972
2024-05-31,26333356009.0,,7032057.218033282,7032057.218033282,7032057.218033282,3516028.609016641,60680035.23513049,60680035.23513049,30340017.617565244,703205.7218033283,6068003.523513048
2024-06-30,25904276152.0,,6917475.768388265,6917475.768388265,6917475.768388265,3458737.8841941324,67597511.00351876,67597511.00351876,33798755.50175938,691747.5768388265,6759751.100351875
2024-07-31,33066342410.0,,8830033.351568643,8830033.351568643,8830033.351568643,4415016.6757843215,76427544.3550874,76427544.3550874,38213772.1775437,883003.3351568644,7642754.435508739
2024-08-31,35218651965.0,,9404785.917724928,9404785.917724928,9404785.917724928,4702392.958862464,85832330.27281232,85832330.27281232,42916165.13640616,940478.5917724929,8583233.027281232
2024-09-30,30229682565.0,,8072531.940380494,8072531.940380494,8072531.940380494,4036265.970190247,93904862.21319282,93904862.21319282,46952431.10659641,807253.1940380494,9390486.221319282
2024-10-31,34334466197.0,,9168673.023120012,9168673.023120012,9168673.023120012,4584336.511560006,103073535.23631284,103073535.23631284,51536767.61815642,916867.3023120012,10307353.523631284
2024-11-30,75048422641.0,,20040924.595949262,20040924.595949262,20040924.595949262,10020462.297974631,123114459.8322621,123114459.8322621,61557229.91613105,2004092.4595949263,12311445.98322621
2024-12-31,156837283922.0,10343007.0,41881815.370722175,44365727.41270845,44365727.41270845,22182863.706354223,167480187.24497056,167480187.24497056,83740093.62248528,4436572.741270845,16748018.724497054
2025-01-31,197881595746.0,51408705.0,52842285.01699604,52526209.65240451,52526209.65240451,26263104.826202255,220006396.89737508,220006396.89737508,110003198.44868754,5252620.9652404515,22000639.689737506
2025-02-28,187490827253.0,45429024.0,50067535.05511725,45429024.0,45429024.0,22714512.0,265435420.89737508,265435420.89737508,132717710.44868754,4542902.4,26543542.089737505
2025-03-31,175572911308.0,39643404.0,46884975.76353633,39643404.0,39643404.0,19821702.0,305078824.8973751,305078824.8973751,152539412.44868755,3964340.4000000004,30507882.489737503
2025-04-30,187589104317.0,43403918.0,50093778.95418701,43403918.0,43403918.0,21701959.0,348482742.8973751,348482742.8973751,174241371.44868755,4340391.8,34848274.2897375
2025-05-31,248294925606.0,70445046.0,66304656.46733243,70445046.0,70445046.0,35222523.0,418927788.8973751,418927788.8973751,209463894.44868755,7044504.600000001,41892778.8897375
2025-06-30,216324623517.0,62313887.0,57767309.63273904,64471623.02581452,64471623.02581452,32235811.51290726,483399411.92318964,483399411.92318964,241699705.96159482,6447162.302581452,48339941.19231895
2025-07-31,176220425239.0,93127251.0,47057887.83029719,93127251.0,93127251.0,46563625.5,576526662.9231896,576526662.9231896,288263331.4615948,9312725.1,57652666.292318955
2025-08-31,0.0,16329382.0,0.0,16329382.0,16329382.0,8164691.0,592856044.9231896,592856044.9231896,296428022.4615948,1632938.2000000002,59285604.49231896
